signal_date,market_score,pick_count,closed_count,day_return,cum_nav,day_type
2025-12-05,60,5,5,0.018822502041133386,0.8199596757732323,signal
2025-12-08,60,5,5,-0.001615030958468462,0.8186354155121627,signal
2025-12-09,60,5,5,-0.0040208116545265606,0.8153438366926632,signal
2025-12-10,60,5,5,-0.024282122548346382,0.7955455577310531,signal
2025-12-11,40,0,0,,,fused
2025-12-12,60,5,5,-0.019639613686278458,0.7799213503073803,signal
2025-12-15,60,5,5,-0.022551489189029612,0.76233296240763,signal
2025-12-16,40,0,0,,,fused
2025-12-17,60,5,5,-0.007333079850543728,0.7567427139215933,signal
2025-12-18,60,5,5,0.01216606635476165,0.7659492959926458,signal
2025-12-19,60,5,5,0.007304901468563457,0.7715444801297877,signal
2025-12-22,60,5,5,-0.0009875463919171575,0.770782544162232,signal
2025-12-23,60,5,5,-0.013944840837440825,0.760034104263612,signal
2025-12-24,60,5,5,-0.0027286108571722215,0.757960266954897,signal
2025-12-25,60,5,5,-0.0080388090241207,0.7518671691209751,signal
2025-12-26,60,5,5,-0.009173185410513266,0.7449701521745506,signal
2025-12-29,60,5,5,-0.0031215631754857574,0.7426446807806866,signal
2025-12-30,60,5,5,0.025967457176868193,0.761929274726488,signal
2025-12-31,60,5,5,0.03399421465031459,0.7878304620398986,signal
2026-01-05,60,5,5,0.007874050385092996,0.7940338787929118,signal
2026-01-06,60,5,5,0.012148827060562455,0.8036804590665945,signal
2026-01-07,60,5,5,-0.011852357308735826,0.7941549511036884,signal
2026-01-08,60,5,5,0.00040728846842157384,0.7944784012574129,signal
2026-01-09,60,5,5,0.006146659734107534,0.79936178965604,signal
2026-01-12,60,5,5,-0.014031041966851112,0.7881459108386789,signal
2026-01-13,60,5,5,-0.009869049598842942,0.7803676597534868,signal
2026-01-14,60,5,5,-0.016125761331794435,0.7677836371212511,signal
2026-01-15,60,5,5,0.002025042143227393,0.7693384313433019,signal
2026-01-16,60,5,5,-0.0048790711069593515,0.7655847744314613,signal
2026-01-19,60,5,5,-0.021269889829660528,0.7493008706240387,signal
2026-01-20,60,5,5,-0.006524802856344561,0.7444118301631295,signal
2026-01-21,60,5,5,0.01267573653655756,0.7538477983969739,signal
2026-01-22,60,5,5,-0.004983002613356975,0.7500913728474884,signal
2026-01-23,40,0,0,,,fused
2026-01-26,40,0,0,,,fused
2026-01-27,40,0,0,,,fused
2026-01-28,40,0,0,,,fused
2026-01-29,60,5,5,-0.030000000000000044,0.7275886316620637,signal
2026-01-30,40,0,0,,,fused
2026-02-02,40,0,0,,,fused
2026-02-03,40,0,0,,,fused
2026-02-04,40,0,0,,,fused
2026-02-05,40,0,0,,,fused
2026-02-06,40,0,0,,,fused
2026-02-09,60,5,5,0.012242004194011714,0.7364957747423858,signal
2026-02-10,60,5,5,-0.01651815130354658,0.7243302261007682,signal
2026-02-11,60,5,5,0.0031134407465275254,0.7265853853406518,signal
2026-02-12,60,5,5,-0.006488314225298805,0.7218710710490518,signal
2026-02-13,40,0,0,,,fused
2026-02-24,60,5,5,0.008361452795319812,0.7279069619339353,signal
2026-02-25,60,5,5,-0.01661159200467894,0.7158152684649234,signal
2026-02-26,60,5,5,-0.015679830281251916,0.7045914065426646,signal
2026-02-27,60,5,5,0.0015685465692320845,0.7056965909761075,signal
2026-03-02,60,5,5,-0.01917102615694165,0.6921676631716399,signal
2026-03-03,40,0,0,,,fused
2026-03-04,40,0,0,,,fused
2026-03-05,40,0,0,,,fused
2026-03-06,40,0,0,,,fused
2026-03-09,40,0,0,,,fused
2026-03-10,40,0,0,,,fused
2026-03-11,60,5,5,-0.01782048582979593,0.6798328991382467,signal
2026-03-12,60,5,5,-0.018268689424421954,0.6674132430433858,signal
2026-03-13,40,0,0,,,fused
2026-03-16,40,0,0,,,fused
2026-03-17,40,0,0,,,fused
2026-03-18,40,0,0,,,fused
2026-03-19,40,0,0,,,fused
2026-03-20,40,0,0,,,fused
2026-03-23,40,0,0,,,fused
2026-03-24,40,0,0,,,fused
2026-03-25,40,0,0,,,fused
2026-03-26,40,0,0,,,fused
2026-03-27,40,0,0,,,fused
2026-03-30,40,0,0,,,fused
2026-03-31,40,0,0,,,fused
2026-04-01,40,0,0,,,fused
2026-04-02,40,0,0,,,fused
2026-04-03,40,0,0,,,fused
2026-04-07,40,0,0,,,fused
2026-04-08,60,5,5,-0.022123753454283298,0.6526475570021703,signal
2026-04-09,60,5,5,0.035305075292515926,0.6756893281416084,signal
2026-04-10,60,5,5,0.0011065173705553065,0.676436990120296,signal
2026-04-13,60,5,5,0.000541747365224015,0.6768034480774338,signal
2026-04-14,60,5,5,0.009387921751314175,0.6831572258890043,signal
2026-04-15,60,5,5,-0.008716971764661767,0.6772021636401052,signal
2026-04-16,60,5,5,0.017688403428209903,0.689180788713028,signal
2026-04-17,60,5,5,-0.002457197875996838,0.6874873351428246,signal
2026-04-20,60,5,5,-0.0024798269454331173,0.6857824855244934,signal
2026-04-21,60,5,5,0.011683016430389737,0.6937944935705496,signal
2026-04-22,60,5,5,0.008141530718300575,0.699443042752142,signal
2026-04-23,60,5,5,-0.0058119702243056,0.6953779006140688,signal
2026-04-24,60,5,5,0.004883557991493305,0.6987738189177204,signal
2026-04-27,60,5,5,-0.005713101877089956,0.6947816529012002,signal
2026-04-28,60,5,5,0.0036549814469612834,0.6973210669522432,signal
2026-04-29,60,5,5,0.004491439976844011,0.7004530426690481,signal
2026-04-30,60,5,5,0.02674573558483394,0.7191871745378668,signal
2026-05-06,60,5,5,0.02617127023767133,0.7380092164341646,signal
2026-05-07,60,5,5,0.002154501327297631,0.73959925827053,signal
2026-05-08,60,5,5,0.027494973376282667,0.7599345201857965,signal
2026-05-11,60,5,5,-0.009041228595318555,0.7530637784713231,signal
2026-05-12,60,5,5,0.022935876263808275,0.7703359561130974,signal
2026-05-13,60,5,5,-0.025178873953760013,0.7509397641720764,signal
2026-05-14,60,5,5,0.004327672560110565,0.7541895855837797,signal
2026-05-15,60,5,5,-0.012866874233418268,0.7444855230379194,signal
2026-05-18,60,5,5,0.013553714950648648,0.7545760676020599,signal
2026-05-19,60,5,5,-0.03951370000511536,0.7247599752357924,signal
2026-05-20,60,5,5,-0.017930312441868802,0.7117648024344535,signal
2026-05-21,40,0,0,,,fused
2026-05-22,40,0,0,,,fused
2026-05-25,60,5,5,-0.030000000000000044,0.6904118583614198,signal
2026-05-26,60,5,5,-0.02584939346790908,0.6725651305797252,signal
2026-05-27,60,5,5,-0.028225352112676055,0.6535817429504045,signal
2026-05-28,60,5,5,-0.0039007444168734752,0.6510322876156203,signal
