signal_date,stock_code,stock_name,rank,rule_score,buy_price,sell_date,sell_price,hold_days,pnl_ratio,status,stop_loss_triggered,exit_reason,market_score
2025-07-18,603663,三祥新材,3,80.57300090383112,26.01,2025-07-21,26.34,1,0.01268742791234134,CLOSED,0,t1_close_exit,60
2025-07-18,603192,汇得科技,4,79.64069541044185,22.09,2025-07-21,21.82,1,-0.012222725215029406,CLOSED,0,t1_close_exit,60
2025-07-18,605086,龙高股份,5,77.68052026705605,27.804024,2025-07-21,27.3456064,1,-0.016487455197132513,CLOSED,0,t1_close_exit,60
2025-07-21,603026,石大胜华,1,84.97492463688684,38.5,2025-07-22,38.48,1,-0.0005194805194806007,CLOSED,0,t1_close_exit,60
2025-07-21,000762,西藏矿业,2,81.45143909516125,22.02,2025-07-22,23.3,1,0.058128973660308864,CLOSED,0,t1_close_exit,60
2025-07-21,001226,拓山重工,3,80.52472709252208,30.94,2025-07-22,32.3,1,0.04395604395604382,CLOSED,0,t1_close_exit,60
2025-07-21,600406,国电南瑞,4,80.10779603696855,22.77840977,2025-07-22,23.48371596,1,0.030963802878325414,CLOSED,0,t1_close_exit,60
2025-07-21,603893,瑞芯微,5,78.55790397976416,161.0346586,2025-07-22,157.5047232,1,-0.021920345785736334,CLOSED,0,t1_close_exit,60
2025-07-22,000400,许继电气,1,85.0,24.58996011,2025-07-23,23.8522613067,1,-0.029999999999999957,CLOSED,1,t1_intraday_stop_loss,60
2025-07-22,603198,迎驾贡酒,2,83.8144980789112,42.18,2025-07-23,41.85,1,-0.007823613086770941,CLOSED,0,t1_close_exit,60
2025-07-22,001222,源飞宠物,3,81.5011176688214,19.81,2025-07-23,19.46,1,-0.01766784452296809,CLOSED,0,t1_close_exit,60
2025-07-22,603260,合盛硅业,4,80.55899571543895,52.85617197,2025-07-23,52.89583145,1,0.0007503282686176057,CLOSED,0,t1_close_exit,60
2025-07-22,600312,平高电气,5,79.24246788728088,16.89644124,2025-07-23,16.3895480028,1,-0.029999999999999992,CLOSED,1,t1_intraday_stop_loss,60
2025-07-23,001317,三羊马,1,81.17249402633107,47.55,2025-07-24,50.0,1,0.05152471083070458,CLOSED,0,t1_close_exit,60
2025-07-23,003017,大洋生物,2,79.75084738612611,28.73511992,2025-07-24,28.2989884,1,-0.015177647464642981,CLOSED,0,t1_close_exit,60
2025-07-23,603057,紫燕食品,3,78.04529476031547,22.13,2025-07-24,21.69,1,-0.019882512426570166,CLOSED,0,t1_close_exit,60
2025-07-23,002670,国盛证券,4,77.99424201372693,15.38,2025-07-24,15.81,1,0.027958387516254856,CLOSED,0,t1_close_exit,60
2025-07-23,002826,易明医药,5,76.95116291532133,19.0,2025-07-24,20.9,1,0.09999999999999992,CLOSED,0,t1_close_exit,60
2025-07-24,603290,斯达半导,1,80.48757731631297,85.62,2025-07-25,86.32,1,0.008175659892548337,CLOSED,0,t1_close_exit,60
