signal_date,market_score,pick_count,closed_count,day_return,cum_nav,day_type,filter_detail,skipped_count
2025-08-14,47,0,0,,,fused,"{'index_ret_20d': 0.06744785653990237, 'market_limit_up_count': 47, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-08-15,96,3,3,0.03556045749559231,0.865521383044838,signal,,0.0
2025-08-18,123,3,3,-0.004315473482994208,0.8617862484673435,signal,,0.0
2025-08-19,95,1,1,-0.044273105247852135,0.8236322951877972,signal,,0.0
2025-08-20,92,3,2,-0.045958914379966936,0.7857790490526856,signal,,1.0
2025-08-21,45,0,0,,,fused,"{'index_ret_20d': 0.08240756769017721, 'market_limit_up_count': 45, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-08-22,74,5,5,-0.021166964545290372,0.7691464917809554,signal,,0.0
2025-08-25,81,5,5,-0.04488626717399166,0.734622376854937,signal,,0.0
2025-08-26,75,5,4,0.006264883371769054,0.7392247003682251,signal,,1.0
2025-08-27,48,0,0,,,fused,"{'index_ret_20d': 0.09198833903253734, 'market_limit_up_count': 48, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-08-28,62,5,4,0.04799428724803248,0.7747032629785384,signal,,1.0
2025-08-29,69,4,4,-0.04459444782540824,0.7401557987374685,signal,,0.0
2025-09-01,108,3,3,0.006666946894054379,0.7450903781409776,signal,,0.0
2025-09-02,51,3,3,-0.016628824564174038,0.7327004009584172,signal,,0.0
2025-09-03,39,0,0,,,fused,"{'index_ret_20d': 0.05036458786508513, 'market_limit_up_count': 39, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-09-04,47,0,0,,,fused,"{'index_ret_20d': 0.026085702003016742, 'market_limit_up_count': 47, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-09-05,103,1,1,-0.04994074173997668,0.6961087994613755,signal,,0.0
2025-09-08,73,5,5,0.04653276354639489,0.7285006656292764,signal,,0.0
2025-09-09,55,4,4,-0.054220573566377314,0.6890009416953694,signal,,0.0
