signal_date,stock_code,stock_name,rank,board_score,board_streak,signal_close,t1_date,t2_date,buy_price,sell_date,sell_price,hold_days,ride_days,pnl_ratio,status,exit_reason,market_score,index_ret_20d,market_limit_up_count,concept_limit_up_count
2025-06-09,002391,长青股份,1,76.5,2,6.81,2025-06-10,2025-06-11,6.833999999999999,2025-06-11,6.2,2,0,-0.09277143693298195,CLOSED,t2_close_exit,74,0.022505780093066807,74,0
2025-06-09,000795,英洛华,3,67.75,1,10.99104136,2025-06-10,2025-06-11,11.125464168,2025-06-11,11.77187973,2,0,0.05810234541577821,CLOSED,t2_close_exit,74,0.022505780093066807,74,0
2025-06-09,002038,双鹭药业,4,67.75,1,7.71905556,2025-06-10,2025-06-11,7.8879472988999995,2025-06-11,7.59938028,2,0,-0.036583284340685314,CLOSED,t2_close_exit,74,0.022505780093066807,74,0
2025-06-09,002105,信隆健康,5,67.75,1,9.36,2025-06-10,2025-06-11,9.647999999999998,2025-06-11,9.12,2,0,-0.054726368159203856,CLOSED,t2_close_exit,74,0.022505780093066807,74,0
2025-06-11,002181,粤 传 媒,1,80.0,3,7.99132557,2025-06-12,2025-06-13,8.459219167499999,2025-06-13,7.91210549,2,0,-0.06467661691542274,CLOSED,t2_close_exit,56,0.005771735048390347,56,0
2025-06-11,000948,南天信息,2,67.75,1,20.82655036,2025-06-12,2025-06-13,20.210315432999998,2025-06-13,19.83101736,2,0,-0.018767548396630588,CLOSED,t2_close_exit,56,0.005771735048390347,56,0
2025-06-11,001234,泰慕士,3,67.75,1,23.82084192,2025-06-12,2025-06-13,26.337904309799995,2025-06-13,21.21790224,2,0,-0.1943967146958958,CLOSED,t2_close_exit,56,0.005771735048390347,56,0
2025-06-11,001316,润贝航科,4,67.75,1,32.59592887,2025-06-12,2025-06-13,33.1603829898,2025-06-13,33.55607556,2,0,0.011932689990996524,CLOSED,t2_close_exit,56,0.005771735048390347,56,0
2025-06-11,002376,新北洋,5,67.75,1,7.84,2025-06-12,2025-06-13,,,,0,0,,SKIPPED,t1_one_word_limit_up,56,0.005771735048390347,56,0
2025-06-12,002878,元隆雅图,1,76.5,2,22.66,2025-06-13,2025-06-16,23.788349999999998,2025-06-16,27.42,2,0,0.15266506504234234,CLOSED,t2_close_exit,70,0.005170144001090948,70,0
2025-06-12,600250,南京商旅,2,76.5,2,14.08,2025-06-13,2025-06-16,14.170499999999999,2025-06-16,11.92,2,0,-0.15881584982886976,CLOSED,t2_close_exit,70,0.005170144001090948,70,0
2025-06-12,000403,派林生物,3,67.75,1,18.62,2025-06-13,2025-06-16,18.994499999999995,2025-06-16,18.75,2,0,-0.012872147200505153,CLOSED,t2_close_exit,70,0.005170144001090948,70,0
2025-06-12,002017,东信和平,4,67.75,1,12.97,2025-06-13,2025-06-16,13.205699999999998,2025-06-16,13.27,2,0,0.004869109551178744,CLOSED,t2_close_exit,70,0.005170144001090948,70,0
2025-06-13,600281,华阳新材,1,80.0,3,7.26,2025-06-16,2025-06-17,,,,0,0,,SKIPPED,t1_open_gap_down,60,0.008085142634119968,60,0
2025-06-13,002365,永安药业,2,76.5,2,25.162332,2025-06-16,2025-06-17,26.039276639999997,2025-06-17,25.6107696,2,0,-0.01645618063528496,CLOSED,t2_close_exit,60,0.008085142634119968,60,0
2025-06-13,000520,凤凰航运,3,67.75,1,5.27,2025-06-16,2025-06-17,5.205899999999999,2025-06-17,5.58,2,0,0.07186077335331091,CLOSED,t2_close_exit,60,0.008085142634119968,60,0
2025-06-13,001278,一彬科技,5,67.75,1,20.98944079,2025-06-16,2025-06-17,,,,0,0,,SKIPPED,t1_open_gap_down,60,0.008085142634119968,60,0
2025-06-16,002878,元隆雅图,1,80.0,4,27.42,2025-06-17,2025-06-18,27.285749999999997,2025-06-18,23.02,2,0,-0.15633618280604336,CLOSED,t2_close_exit,60,0.013075390603048742,60,0
2025-06-16,000554,泰山石油,2,76.5,2,7.71986401,2025-06-17,2025-06-18,7.689455397,2025-06-18,7.61196248,2,0,-0.01007781604796528,CLOSED,t2_close_exit,60,0.013075390603048742,60,0
2025-06-16,603988,中电电机,4,76.5,2,28.12,2025-06-17,2025-06-18,27.637499999999996,2025-06-18,27.72,2,0,0.0029850746268657853,CLOSED,t2_close_exit,60,0.013075390603048742,60,0
2025-06-16,000766,通化金马,5,67.75,1,27.61,2025-06-17,2025-06-18,27.748049999999996,2025-06-18,27.99,2,0,0.008719531642764188,CLOSED,t2_close_exit,60,0.013075390603048742,60,0
2025-06-23,600113,浙江东日,2,76.5,2,22.69636304,2025-06-24,2025-06-25,22.809844855199998,2025-06-25,25.2292612,2,0,0.10606895225104714,CLOSED,t2_close_exit,77,0.014783272882084475,77,0
2025-06-23,600794,保税科技,3,76.5,2,5.24,2025-06-24,2025-06-25,5.226,2025-06-25,5.34,2,0,0.021814006888633733,CLOSED,t2_close_exit,77,0.014783272882084475,77,0
2025-06-23,603538,美诺华,4,76.5,2,20.26036236,2025-06-24,2025-06-25,20.953165002,2025-06-25,19.6,2,0,-0.06458045845917962,CLOSED,t2_close_exit,77,0.014783272882084475,77,0
2025-06-23,000547,航天发展,5,67.75,1,7.96,2025-06-24,2025-06-25,7.828949999999999,2025-06-25,7.94,2,0,0.014184533047215966,CLOSED,t2_close_exit,77,0.014783272882084475,77,0
2025-06-24,600110,诺德股份,1,80.0,6,6.24,2025-06-25,2025-06-26,6.4319999999999995,2025-06-26,7.2,2,0,0.11940298507462697,CLOSED,t2_close_exit,77,0.027514660497154786,77,3
2025-06-24,600113,浙江东日,2,80.0,3,24.96998816,2025-06-25,2025-06-26,26.056940519999998,2025-06-26,27.75218732,2,0,0.06505931879066221,CLOSED,t2_close_exit,77,0.027514660497154786,77,0
2025-06-24,000892,欢瑞世纪,3,76.5,2,4.63,2025-06-25,2025-06-26,4.6833,2025-06-26,4.8,2,0,0.024918326820831425,CLOSED,t2_close_exit,77,0.027514660497154786,77,0
2025-06-24,002565,顺灏股份,4,76.5,2,6.13,2025-06-25,2025-06-26,6.26115,2025-06-26,5.89,2,0,-0.05927824760627043,CLOSED,t2_close_exit,77,0.027514660497154786,77,0
2025-06-24,001236,弘业期货,5,67.75,1,10.91103468,2025-06-25,2025-06-26,11.407426807199998,2025-06-26,13.19915459,2,0,0.1570667787821457,CLOSED,t2_close_exit,77,0.027514660497154786,77,0
2025-06-25,002846,英联股份,1,80.0,4,18.04,2025-06-26,2025-06-27,17.5875,2025-06-27,19.7,2,0,0.12011371712864255,CLOSED,t2_close_exit,74,0.04455434504015998,74,0
2025-06-25,002537,海联金汇,2,80.0,3,11.46,2025-06-26,2025-06-27,12.31125,2025-06-27,10.81,2,0,-0.12194131383896833,CLOSED,t2_close_exit,74,0.04455434504015998,74,0
2025-06-25,001236,弘业期货,3,76.5,2,12.00013979,2025-06-26,2025-06-27,,,,0,0,,SKIPPED,t1_one_word_limit_up,74,0.04455434504015998,74,0
2025-06-25,002670,国盛证券,4,76.5,2,14.48,2025-06-26,2025-06-27,,,,0,0,,SKIPPED,t1_one_word_limit_up,74,0.04455434504015998,74,0
2025-06-25,600095,湘财股份,5,76.5,2,10.0,2025-06-26,2025-06-27,10.854,2025-06-27,10.33,2,0,-0.04827713285424721,CLOSED,t2_close_exit,74,0.04455434504015998,74,0
